Area,Bedrooms,Bathrooms,Floors,YearBuilt,Price,Location_Downtown,Location_Rural,Location_Suburban,Location_Urban,Condition_Excellent,Condition_Fair,Condition_Good,Condition_Poor,Cluster
1360,5,4,3,1970,149919,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
4272,5,4,3,1958,424998,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
3592,2,2,3,1938,266746,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
966,4,2,2,1902,244020,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
4926,1,4,2,1975,636056,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
3944,1,2,1,1906,93262,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
3671,1,1,2,1948,448722,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
3419,2,4,1,1925,594893,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
630,2,2,1,1932,652878,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2185,3,3,1,2000,340375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
1269,1,4,2,1947,653685,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2
2891,4,4,3,1978,127123,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2
2933,4,3,2,1901,849947,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
1684,1,1,1,2004,399355,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
3885,1,3,1,1970,481838,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
4617,1,4,2,1931,853032,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
3404,2,1,1,1903,208964,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
974,2,2,1,1919,905742,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
1582,2,2,2,2013,989305,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
3058,5,2,2,2016,218767,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
2547,4,4,2,1935,996357,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
3247,4,3,1,1931,709789,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1475,3,1,1,1927,709966,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
